,ICCID,IMSI,OP,K4,PIN1,PUK1,PIN2,PUK2,KI,EKI,OPC,ADM1,ADM6,ACC,KIC1,KID1,KIK1,KIC2,KID2,KIK2,KIC3,KID3,KIK3
0,111111111155555,1111111111111155555,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1111111111111111111111111111111111111111111111111111111111111111,4385,11111111,8453,9783,FFA65432700A151D59FBDF8E8DFF38C1,D6022B47D11B2EF48B43B219A5E4FCF3,602EF8C4110912E648673AFCCFEFA23C,56247592,11111111,0020,8EA2596B6FC92D4A1C66F8AF9218C7A0,9C97A3C75E62BE84310CE4962C53691E,F17A77D591A5A778C5C0B14F0C119B65,BD5DEB9573B64C4ECC2A1992A3F9C868,6B6C88F956573B3C1180C39E277DB322,C04A7873442AEF5C6017A3F966DA6312,9B99310ED2167A56D9B6467E25A18409,CECEF200F14E63B1E5DF9135D26E7AD9,E247225917E5851972BECB82A72407D6
1,111111111155556,1111111111111155556,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1111111111111111111111111111111111111111111111111111111111111111,6645,11111111,6665,8940,F4CDFE9B69324FEA98FAFF50E041F8B2,F01DE52108212FDE7B87F8D5BB1DC177,22C14D7BCA59982FD7AC095D5F95D849,41963940,11111111,0040,4597AD5C7DBEE277A4FCEA66DF8F4B56,5D977753CFFCF627C069F82F31098CAB,B71856C8C31B595A8C23F4558D7123FF,E270D2049E637D699B5A954730826925,19BEA18D079EE1DC0593B7DF08B61A72,FD7D8147DD2CB7B9B80B56C12AA9E4AB,786A2A2DF49DBC5550EA7526B679BF78,26905F643919FF76162ED15F718DD2C5,EE3A37D3EC5406833BD306A958339E32
2,111111111155557,1111111111111155557,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1111111111111111111111111111111111111111111111111111111111111111,5875,11111111,6080,7819,FFE4ECF9A84363E367E8008C71AF842A,4A7C5F888AF3A4ED62E1B139133138BA,6DC7CE0BB300DBB824531A6AEB65208D,88012933,11111111,0080,048C231869E403F639C4B1F519E21765,965F10D3A605AD1B42309AA614681887,C6742E856720F9CCDF982C1C400919FE,8C64AB1C5569CE7D8AD93D633F42F262,4C5B5D01936A3CDCF3A79F00A3781D59,3BC36CB85181C13459F77FFE6A8DDC9E,7BDF53E4B0FCA613A4A857E2A89AC545,73D2B54BB77F40AB77C2A1326E1AC8A7,E62E514B5566A5C5BEC980FB0DC75075
3,111111111155558,1111111111111155558,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1111111111111111111111111111111111111111111111111111111111111111,9036,11111111,8260,9466,D094843E15C6A26FBF7161329B7A2AB7,D0DCC4CA3DCC02AA829B509008BD228B,C45C7793E2BD9212BE6C8E52DE417B73,23375203,11111111,0100,99B7685AFA427E2BE2D36EEFD1543811,45586AC0F4784927DABC4293A0A207DB,90CFF61CDDA6E4AFB0110479D1B27FB8,34A45BB719276A333834094104ADC3E4,89499AA4837AC2E4146097F401319A41,5D122817437426CE340A8F78121D33CD,CF83D980F6F5D9BD3A005273E3D88F09,CCF9277A0DABB79D88ACE30B8B823F55,DB489B57323F5C8A8892E789508E283D
4,111111111155559,1111111111111155559,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1111111111111111111111111111111111111111111111111111111111111111,2977,11111111,6990,5740,071D5B7A1CF93A9F841EB88A9D2667AA,4C339036F76F9AB0C864A805C6BB0BE3,998D458D97D3159C53636E3C629FA104,72613008,11111111,0200,8DA44B6FFA9D32B7A81CDE73F42E8828,971154DA71B8CE6909BB8D53CF8FC529,B27CD95A846ADFCFA35DFB82AFFAC396,F563E489581DE57E9F602B1B5B2BD5CC,65EE27B8723D2286747AEA195A5AA117,3F60174BB449702BFD0172B771FA2B49,C13053F4309D7346DFFD47168B9DF837,E4350EBE85E53B8F8A9D4581ECF1B159,5BB2092FD2D33F8AD9FFE06C21F5C26C
5,111111111155560,1111111111111155560,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1111111111111111111111111111111111111111111111111111111111111111,6661,11111111,3118,8553,AA8B7C1CF7107A39B50F639C906C6BE0,0B12C17CFCD78B21B96A2FBF2B45F059,7469A0ED4D7D5AEA442C825E8B3A6B2E,28211364,11111111,0001,7B6836A92F844CCC09EFD2B6D3A373B8,BA1A7F5DE3977C726079FA0CAF868F9C,ABD5203E62F93D330CC52D292D6C78A9,5BA2A005768BB85F757D593CDF3C5C97,F0B32E28A8BCC723D88512096AB8F388,B20B91715433AE84E64CDEC84BF4B3A1,5D32D44DE096D7DAAC30979FA12BAE53,50590B79F53011C66A9B99748B300744,30A090C693DE70D3CF7B836AB23F2100
6,111111111155561,1111111111111155561,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1111111111111111111111111111111111111111111111111111111111111111,8570,11111111,6951,1500,2564568B151D72BC5BAF557C8044BFE0,2A011C672A1A8228C552AAFAFA5456B5,881B012A67334DBAADFD7C1458A2D573,79033852,11111111,0002,DEAFAEAE98FF679F3CFA69471698A93D,11ABCA67CD4410DDDE13234077F46F79,AB42E5CDE19D74479E5D14DC27190C5A,8BF18CEBC989DCD154087B56912AFC39,877D67028121909E6CB395758BE8C6BD,EDBBBD71135E7C417BC75A4252B89D6B,F3E607D2219CFD5A39F4D0B146CDCE70,A60786E4F27C745614887E06246053E5,851AF1EF6FDE21F930C4CCAEB4F66F04
7,111111111155562,1111111111111155562,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1111111111111111111111111111111111111111111111111111111111111111,2180,11111111,1979,9974,86784CC602B8F179C69EA9B4D5D0B6D2,6353D22812216957492FF54BABDE39F0,B8E2CFE6F5436E294C383AFE38E828FE,82394933,11111111,0004,5E7C38539A3357A8F8E8017D4B7EAA6E,EB2B448F2534656B69E878C92DA28851,7C2C505A808D00BB1F1E4AE839583480,9C389645F9B156F5CDB1AD3CD6741295,6185BF4F094BF945151893EB4D2EEEB7,17BF26AA5D7639C35DA67D67D30ED4DC,FB25E7F2D39C3EDC276F8C18E932631E,8A135AB2D2DD94C007BF3D9A04D5BA57,9465CA5A10F33E4F8E0125A9AD1F4C28
8,111111111155563,1111111111111155563,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1111111111111111111111111111111111111111111111111111111111111111,9079,11111111,6559,6340,72EB777A79997C38FA815C5E0BFDE336,8A7ECA42A5F47B41F98F04630B8F40A6,7EF8C3AD87BAA7908F868AA495F8D5BD,54619614,11111111,0008,A0114F57148148D28A2FD366CF5BEDEE,90AC688546C03DFAB38014CB252BDA1D,0DF589E44F725058FC6AE3AE65D70F74,213E67419DE4D766D969028F309EFF45,57B47BBBA79C55BBDB0899762D948E44,F6B7E4970BA2C63917163DC52CF323A5,FAACB1FD4EBAE319EBD7A2C4372165B7,16AF0C33B3754CDC14C0553DF137E5CE,F385C34F14FF07433567C7F0C94C5613
9,111111111155564,1111111111111155564,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1111111111111111111111111111111111111111111111111111111111111111,2191,11111111,9353,1548,D681D7C1897BF09C9E14A718729AF8BF,637328BDF731AE6CDF1D9A4D11FD7092,DD6540D059DFA04E80EC3E497A6D596F,97710465,11111111,0010,9079CD2419A9647AA1B74BA0A5DA5312,2487C6731ABC48D28E823641B63A872F,003213153D5509AA1C0EFC1C8D3FE6A1,AD9F4932EBFE62664F4550D744961E49,C2A0F0937811834B0C344FF0EEDE6E4D,B4E02E0644EDA6E0046D5E200C1295AB,65F277B6A868796692202B6CFBD9A9B7,734A239D1D6D20B9AF9EAA865A6E329D,80F95A6327EC90481B099B8311468228
