,IMSI,ICCID,PIN1,PUK1,PIN2,PUK2,ADM1,ADM6,KI,OPC,ACC,KIC1,KID1,KIK1,KIC2,KID2,KIK2,KIC3,KID3,KIK3
0,084901103254769814,98294015624556459887,36353233FFFFFFFF,3131313131313131,32353131FFFFFFFF,3231363337353235,3335393634303031,3131313131313131,990FAB75E1FDD478CE547E22324E915C,26FEC4B844490A1E11C1FA7A40CC2BD6,0002,619E0488BCAC1FF08238C93A1AA350A3,80A30E35F8CAF373DF68C928F924D7E7,CD8156917A9DF8DB3F1FF018EB33BFAA,6DB028455F43C44E9F9D86EA162B223D,22A7FE92375A77EEFDF4BF143CC11BE8,1086ED860A7BED985213C1EBF9DBD4AA,308AE0126D2D99671219D089581634A4,B9C69339B24020CC8DFC62C166D8D377,B206C7ECCEC6D594710033C5484DF636
1,084901103254769824,98294015624556459868,32393839FFFFFFFF,3131313131313131,36363033FFFFFFFF,3532353338303034,3737313631343031,3131313131313131,BB9CC95FD2A66EC16B26183D6093C13C,816B81AEE9CE7CD915F7BDB252A807A9,0004,5A35EA5005D28FACCAF386D0EF19337D,D277235D1AC4DC2CC25B3002189BE23E,389ED826B35BA39EA2E477951AA48F4D,D5C034906A8104441A58D37567FFFE7C,3ECE04EA63DF522561746D01CAF92900,26A1C1E013C10E4057023C188ED3AD9D,14CCEA1BC6646C0BBB97BEF61A32E521,567F1B43F3E90B611DD4D280E19C59D8,1470659ABBA47060F8F0E685E8FC765F
2,084901103254769834,98294015624556459849,33363435FFFFFFFF,3131313131313131,31373437FFFFFFFF,3536303135313733,3737303430363336,3131313131313131,A12236AD3EE79CF4BFDAA585DD30918B,18043F11C56860DD1654957D1A0BE4DB,0008,60F7C1E740E08564C605AF0A759EAF08,079192470B88DEA7186F7C8618DB955D,D71EF53BA5BAF364B60C0FA26CA34B7E,42C5533AB3CF179F34CE4F3D7939E950,BB8ADF54476E536261281B2CFD60870E,86BCAAD494BABEC001CF4873BC2EE1BE,7516E90EA5A3C4BBC1004A8220596571,C1FF709B1B5D2552FC04F681DDEFD7BD,AE9D417CA1F7A4B8923565C86680E05C
3,084901103254769844,98294015624556450900,33303531FFFFFFFF,3131313131313131,37333834FFFFFFFF,3939313435303031,3936383933343534,3131313131313131,44C6A198A23FD98C9C4BA2AE2B985FDA,63B43C08E46BF8AF38E5161B1C40B276,0010,A23F0DB06FE3D250C8495EC9C2112A37,9CEE21CCA4EFE5B6DCC6EFF391192081,89C9A2879890A86534634EA6FB06C3EC,532EE3672DB637B49466402BAFBAFC9D,479B7C40E28CD599AF40E6E314675093,26F35329027AFE79671DB7DF53DBD630,CBD014921ADD5C47568D3FB6425D3EBD,C6DC13852DF30FC0FB034F7949249459,39C33E00FFB1DBCD2921FD77A325347F
4,084901103254769854,98294015624556450981,38373436FFFFFFFF,3131313131313131,34393532FFFFFFFF,3335393932353930,3731363435363230,3131313131313131,8544AC26F7690482575A4A5EE3D7CAB0,D0B3E473552FF56447919693D61DC143,0020,A899F859115898A03BD9DC7B85E43392,77C27A39E670AAE3E5E050D1353D4E14,0ACE5A30C2D19E62503D77ED8F6E64EB,33A20D333B06AFFA6E09A71E60C8F309,F64195E094B66D9B5A06337BA4E57DAA,D426BABEE4BDEF8B78D73E88CF80AD06,FD53D2B2056EF9A1B784F8A9BE27DBB2,21A6D616113EB29C1750DD747828FB77,DBB23B0F25F2F2AA8EF70BBCF489CD87
5,084901103254769864,98294015624556450962,39383335FFFFFFFF,3131313131313131,32393031FFFFFFFF,3535323430383035,3139353337313433,3131313131313131,3CD6E1B098339A49442C281820D03FA2,8648F06A55D3486E19413C9598E4BAC1,0040,3FEDC4CCF44CC1C95F80D46A607802E9,A3EFCB436CF4E0D96095321458EDAC30,87010EB8D96A166005115339E75987CC,466BE1A57F722DDB6AD818E3892B5BA6,C8A40F46DE9DFE0BF7270AA3348B3508,8FB8C3318D0CB9C57D9FAB6772B2D996,43CF3E3D891FF7F084188E6ABE1DE613,CCE27C4815873D2E9989F6F57D895DD7,2EBB863BF5BD422E0326C292EF134F79
6,084901103254769874,98294015624556450943,34303531FFFFFFFF,3131313131313131,31363235FFFFFFFF,3631313330353036,3937333735393135,3131313131313131,B679795800C7FD1A59927965DB374554,5F3FA615D30C2BFAE51257A003219356,0080,F631865BFAEC1B00FD2C87BC73E51C23,CB10756048B5B3BDEF9060343125F542,63033E8A4405C9E9EB168E18468F5E28,19C6AB7F14732F13F61EA858902715B9,C129DD71A1069282E5BDFAF72526EE98,E4AADA074116344F4B6E6B1D9F789481,9FAE2D8B3C719B2A428771D5E34C1813,64DEDA4395254B882DBE3E024702E017,C294FFBA5A4F29058B8C13ED5839D77D
7,084901103254769884,98294015624556450924,31333636FFFFFFFF,3131313131313131,34393232FFFFFFFF,3337373034303938,3332353236323435,3131313131313131,0E9ED9BC80372CDCADC5658B0D180E76,EF2B2EF272DD68C9A891E40369E4DA09,0100,6E40D9AC2E25DB8532AA62F1D30E7F79,ACC21767DFE8DCB0E6E10E3306F78EA1,1789CAA47EA8D8103A5A89D441D20C41,496C9381208D8B66FF92B8D21F3B8F36,3C3094D5F850FEAE62B918B35CFC8D23,EA4338E20B5DE8DADB1F4F8B3FA1486B,E6561CB2C6E82A0B15F80C0514F9C6F8,C0B6831B3CEC45402173B69AA0255B96,867A12102B007D8D0A0A56B376617818
8,084901103254769894,98294015624556450995,37393834FFFFFFFF,3131313131313131,39303535FFFFFFFF,3535303735383735,3435323232303234,3131313131313131,15A0E6BDA1556738B237FDB6B9632238,AA6773CA69DB92F3976A8D06A7EEC473,0200,F8E70845B9726BF981A6A888728570F9,5B6DC0DF7D78B6EDBDEDCA5BA85201CD,E5853CBE8657C77A79D703C01E7FF8CC,B7400F25CABE4D07EADB95257D45FEE0,F0153A07F82D025960FDD9714EBC330D,5EF50456CD2C6CEC5CABE6E1FC7B1C68,BEE19D98E0FFA11FA0BE378BABF536DC,F1BDBBC4F288DB7C350DC268EC52D644,17F571072E1F0912C7D07173E707CD51
9,084901103254769805,98294015624556450976,38383231FFFFFFFF,3131313131313131,37303036FFFFFFFF,3332353436373132,3636303634363438,3131313131313131,838236AB5DA37F3C3D30A63E0F26723A,270D87FAA7506689995CD132B7701EB4,0001,B49C401C10EB9990A8CF12333A759020,9C94ECEF0851858A2B78FB8E2FFF53AD,577965E7B7049D5B92CF01511926128B,93CABD6871ACF864D186709F3D1251D5,5543008CA01D94CE110AFEBFBA62D9F8,9103ECA9D3C8E6DDD253F62D1E12B425,11C5C3B373D1CAD0E6DAD907B8C5FF8B,F5B2F90311CBD2D5CB1CC6F62BD26767,BDB9292833900B87EACC29F068A38A03
