IMSI,ICCID,PIN1,PUK1,PIN2,PUK2,ADM1,ADM6,KI,OPC,ACC,KIC1,KID1,KIK1,KIC2,KID2,KIK2,KIC3,KID3,KIK3
081911111111111111,11111111111111111111,39323239FFFFFFFF,3537343937383034,33343430FFFFFFFF,3333323133333837,3239323737343634,3137343935303935,A0481015D18F476E1809543F3B21EA14,CF9C415AA5CD073ADB121AC89E29B64B,0002,80CD888EFE699E1AD274E8B18D1A0330,D16194E3F02350E61B54A850B5EFE339,E624C7C104CAFF7A5F32A645B1FBE02E,692031F03ABAF360DAD3B31F44FFBFA4,BBC4F5CD35BA96F20448495A1F711188,E40F9BDDCB4A0A1841E842C49153B8F3,D8BB4CD7DEDECD32A25FC4201B985DAC,3EE66884FD1C7F46B77D8FA12FB3E409,913F8FBF7F03088A6FB17B6B2DF6F8C8
081911111111111121,11111111111111111192,32393936FFFFFFFF,3738363535313438,32353235FFFFFFFF,3439323133333237,3738353139303230,3932333639373535,462B00FFE838E45444634596FB16F952,B35BB4E468A2FA273F39CB5B3428381B,0004,1DC2C73D237517493376E5C1056A85EA,6A2D67319048A585F2A813FC8CA7924D,1E605A31FC98FC05DE6AF7B355A29451,BAC6A881280FE95A3BB3F12AA2625F83,7745FB546CB661C9ACD766C763EA6D24,4D832930BF688DE18500B5EEAD25D796,B0EB613DB1A7F2587DF85AD9186E94B8,AEDAAE4CAB1B27A94FDE26C88DA7451C,01240C7EF0D70A3477B238E1B5A79E01
081911111111111131,11111111111111111173,37303537FFFFFFFF,3931343232373933,31313437FFFFFFFF,3339323032373539,3233313434333138,3339363235333232,97ACEDA52405A940AB32F26D03ECA620,8805F6FD956AD4EC46F8792B995A021C,0008,9E478ED4D7DFF505B8A81D28764254E9,5BDABB135EAA3ED426EF4EA97799D8B5,20A0A3BF6B39A6271C5BCE9ED28406A9,1A0670EA7C0B928F06C090D0D56597A5,384A577F05342E560DFCC72E1249B622,3596948F80854AF3EAB2647D2A6FC6EF,D3402A582CEFE208D42899B1F153126F,88098A64C8BD417B1BD4A3963E9F5F96,4BB7DB5E6E31B310E183521727351AFB
081911111111111141,11111111111111111154,35343233FFFFFFFF,3137393331353732,39303034FFFFFFFF,3633333934323530,3934353239363738,3939383638393034,986605733A76AFAA9A7F85F36D3842FF,16BBAE252E40D29D021E81A9137483EC,0010,7162C65FBB1E1A145B8A628456AB5CF3,16AF789F509B531EC3085C63AB8BA1FB,D2814948DAC84CAF34FE34E03BEDD0F9,6B48F4DFCE826CC118CAA1F0C1506D10,A5AD76313A958CDF25C7580977A192EA,91D81A6F6B16D79302955AAA1ECD2739,8EB02DE5D142ECCDD7821D72F2537736,CFB05F83414C7D334913CB274D6A5D2D,2204388AFD9BBFE5D4F8B021BAD7AA75
081911111111111151,11111111111111111125,33343035FFFFFFFF,3937323137383235,35363533FFFFFFFF,3238353733363532,3634373038353932,3838323536323636,AE61813F91F795BA866C0BC2319B6F85,59839A0D5BDD93640A93A8E0EE46A999,0020,84F450C30AC8CD8D8597AAEA34947BC2,00396F71EDC79FF7AE4F0928C6242372,B0FD3E86401504BE8F62D7D8B434EC39,F6713400B49DE0AE9A249435D392F1C0,A17DD6D9FCAB096C5BD1E26E1A7D3425,1F79FC3CEC7791A976E16233C1C68DF7,49E65B83287CA53ABBD8009B3DCC294C,317FD5F1FE782DE69A4326872A315D0D,F3741DBCA21AD04380F1058A29E05CF0
081911111111111161,11111111111111111106,33353934FFFFFFFF,3736313732343837,35393736FFFFFFFF,3231363932333234,3137303738333539,3534353238393433,6BFECAD87189FCFE2925530A0762D23F,609B3045F91D80B14AE069FC17821BD3,0040,2746B4B41CB2B47CF86C769125F620E1,F7AABC94DDF46B4E2D231F405283A2BB,00E0F19FF34D4DBE77E02CFF3A87E006,45B6E500CFB3910FF95F7427C0F3422C,D089C8467D353FBF2767117C6FB15C44,72DB5C7637B2287F8DBF14DCDF748A94,D330BC314E78E0FBA155B917BB16A3EB,378448DC94FDC824712088AF87A78021,FB399F59E1100D1B363B823377FECE33
081911111111111171,11111111111111111187,37363039FFFFFFFF,3536343030313337,31303833FFFFFFFF,3433333934363739,3231333734303132,3338373633353935,7F139118E334CA5F898BBD40472F07EC,651339487CA0D5A0B05191247CD5CBE2,0080,A2F7AC22EBEFC61721243CF8BE24E5E6,708C596170BAACE8FF94027DEBDFC83B,698BBCCD75B3FBCE11F0F91CB1636A7A,B297CBBE9B33F9B7DE2EA5290E3D86BB,A463F4ADAFA8FB2647AF583AB36A2291,ED6B7583077AF8A6B3F7506C081896B8,AF15453207CEB037EE954FD2E91E5FC2,DC13EC81837FB169B41B983C739101E1,F8D4D64C80E35DD803D5756A4AAE887F
081911111111111181,11111111111111111168,36313737FFFFFFFF,3137383138313933,33383839FFFFFFFF,3335313936333436,3238343839313236,3636363436353031,5D263C749A9DC0EE1FF1145ABC1001FA,9DC50A20C1BA2611586F83D6C06FB77E,0100,D64B38C0388CC3EB989498FAE7262D52,890EEE9A96C23B31EE41A42C898B3AA7,1E2499A2D4189F64FEB211802F55EA05,504EBC906D087CE6AEDB0483B5FDF0AB,1713FE3628BCA58302E733820A85FAC4,3A6E4F4E1C14664DEF1AE759B40AAB89,025BDC25F82AAA75DA2A024C5CBA8FB3,17AEA29F9B2FCB32D90066FC993BD834,497A7BC9EEC9260938B0A4ECB68A837F
081911111111111191,11111111111111111149,37363138FFFFFFFF,3730353630383431,34383732FFFFFFFF,3339353437393539,3532343335303139,3636383536303937,5E5501B55A07CBCE309E2885928E5268,D06AA02582CD89213A19DEBACD8C9DF6,0200,A776146F4344C0BCE99F38C2FCA005B8,43B1FD4AD4017565C5E21828D63F1966,FE0ECE771D1C9A60C90DDB436C52A6BB,BC3F979A085FDCF2348C11C1D653DBDE,4947239DB3CF1FE5132D6C5A95540F45,0FB99185F5B9E7A1B6D1E34085A3379D,29A0025B76E7B89650646FB95C93094C,FE6F478E4969F2476EE790FD43B5ED2F,F1A6456362E3384B85568BBC83C55823
081911111111111102,11111111111111112120,36353039FFFFFFFF,3539393937393836,32343334FFFFFFFF,3337383237313031,3534333136373938,3132353734353638,397D0E0B040D3AAB3A711316C62FB6F2,1BE0FAFE718D9CD4138CF83D66C50157,0001,38DAB4ACDB1168E2A196BCC1EA7C02BD,529DE71D7D5D089429A865050F0C52BE,3B87866B2641E7B49BEBE1E154D4FFDE,E556E9FF36E0A25DF3E973672C59B715,1472999CB82B8F4784EB1B9FB3545A3F,A050B1A60DA3FBB0F973269147645855,3B58C0CF386AEB2042ECEBB379F6CB5B,006BCA27269B2E6EBFA28CAA2ADB693E,B3326EAEE832B95B8CDCF448DB7D73FA
