IMSI,ICCID,PIN1,PUK1,PIN2,PUK2,ADM1,ADM6,KI,OPC,ACC,KIC1,KID1,KIK1,KIC2,KID2,KIK2,KIC3,KID3,KIK3
081911111111111111,11111111111111111111,39333534FFFFFFFF,3937373330343237,33323839FFFFFFFF,3334303731303031,3830383931373333,3430333633313538,B880B53A00085969E84C124808691625,E638BD629013BE70C87DEE7CACCC472D,0002,DE7BF058F88FF5F03E0C578220575A79,E73E44992C1C903E6DFFA4D5A369546C,F1B7E467C11E7B8A3A69F0FE54E16D91,0E28F661CF8F6B28675FE5239EE7F7CC,16D754D037CF07E060BF72304BE08A5B,63B57160F8169383F0989360889A13B5,84830AA86787C08BBEE390D7E0DDFD1A,04C1CB98720755C4464C23D856BCED2E,EEFA1625B025B6418E2896AE8C5C0E72
081911111111111121,11111111111111111192,37373635FFFFFFFF,3438323839303438,35323438FFFFFFFF,3634363539333238,3436383834393234,3238383332303535,F305D701CD58A78271BDB275B169F964,BA1E7989C2D2955233D0871F2C6F57CC,0004,8D0FFC058B82C908CDCCAC3AA1D2E380,D91462B6DC97B6D1321134292C84F1F6,35E1EEC0557857B20D6F0C3CC5CB518F,9E14E0D5C34D131BC36FE27576A20116,8DDBCF90D6ED0C8F3948685C536CBEBC,6EB3F4F54FC4A2D659275EB13BC119F7,C89317A2DA46A6D67F3A493605423F01,4CFA40EB63DD435B0927B8CE133B7A3F,90D776A84129C4ED995325E28BF2CCE4
081911111111111131,11111111111111111173,36333335FFFFFFFF,3339303936343238,34383533FFFFFFFF,3834363535323737,3939333432383930,3937313935323134,A058E5E2E74140412DF7387A86477461,8699C8FA2EDEB53A203E1BAF4292938F,0008,1675DADB6B7F68AFD3D315F79E899EC4,11DEB5383886172D84F701F37DAC331F,FA8BB98A54E591833058DEBE9AA0F8F3,310EE4F59689394019AA6D06EFF1C654,A51DEA339CC4AFEF79559B4C843AD512,2A671A26D503C689F430747F04C56845,838F7FFC2CE115A4620099FCCC30072B,D035258AF5CA48DA50437934DBD964C9,A801F0C9AF20AADC8F3B2ECDF506812F
081911111111111141,11111111111111111154,33353535FFFFFFFF,3333383038393837,34393533FFFFFFFF,3736323130323738,3330353938383330,3636333033323834,E9D5EE6139E489DB2ECCC0BB29825A17,183B7DA12133DF5E1F9A8192A9F4AB5E,0010,F482A628A4969E959B9321541352C351,0EBDFB46ADB594140CF3CC1EEEE8D482,96A1178C5B3F679A4DDC30C40D059BC3,52740DEDA81AE51BCA841D3D5BB25641,ACCC58C4C4841FC6B43FCFB86971194A,B45A05132DFC0D3ED03B9BDC5892E2DB,3388E6E84312CA614F234BABC1164C9E,78873CBF8AB2BB1A3B31D73836DEC92E,6A8DFBAB22442C0CBA9B30D29B78B095
081911111111111151,11111111111111111125,32313035FFFFFFFF,3233383439333734,32333539FFFFFFFF,3437373230343331,3633393439343835,3734373039313731,28969C6D6FA06AEB43AB0BEFBF984E93,EAF196F2757326266267E47F5E66ABC6,0020,EC19AD6D2F37A97E0C974723FEAE4BE6,16307B314757803E436203DA3C1B6BF2,E0C9245035991906DB281AB6B196D011,5FB5908C9F10FFA96545179CF304312F,35214CFE0482E09CAC39AF77A151AEA6,D6E44CF8E9DBDA47F35D0458DB2C43DF,9BB31CF2E73468035C6382DC6044F703,B35EE0DD25EB2200F19543BD9D17B243,2FFBFD22B0ABE273048DB916D27C90C9
081911111111111161,11111111111111111106,31393233FFFFFFFF,3434363834373636,38313032FFFFFFFF,3833353134333131,3130313331353330,3831373031373637,484F3963EAF6E1EBE9912A48E4ABACAD,80986EB9BE9E54A1B376CA41EA4B8EF8,0040,9138C1E96312DAAE6D6DAEAFEECBD05F,DE1E75688A82831D4A35B6E124246D8B,29CBF92E41BB0726B59F14A0C77075C2,E9416E6F55CD5DC2AD1269FFE62A8690,0F80F8A011150784D661C87265C6B6BA,28DD6FDAFFF44B64FA423BCA2565A391,A8564270860A1987DC343BF0D9EC1064,E0F983FBE88E43628F9BE054142ACC25,9E50CB48D574766172DAB10E55569274
081911111111111171,11111111111111111187,37323136FFFFFFFF,3236323036333838,35323337FFFFFFFF,3132353936333733,3236383534343437,3437363932393038,D8A8F4C1180BCF65DCAB480E740180E1,E551E1BAF10D4FCF748CFE5B3976A721,0080,307EF79D5E3EA589F5A8BCF90F76C64B,8CF28DA3FCBEF089CCB074322E40B4C1,BC357D6D17514D70AD1263A36901468D,31655932E53D763C78445186C4B9D732,F3CD0CF37B3D1A3246E810F01CA6E6C4,C69CFFF3A5C3B24F9E352DD42C4BDDF5,6799B610217DA30F9F5FED6932E21F1F,DED1EC4AE1471D0DD9B69AC5C5A9C20C,B4878DC9BCAF2D68D0F13096E12E2ACF
081911111111111181,11111111111111111168,34363332FFFFFFFF,3836353931373837,31383137FFFFFFFF,3234343235353831,3331363532333935,3939303431363136,652CB01554FF799F9A269A74FF758FC5,6B210EB8B0D2B79D2B30168A11B6CF0E,0100,EE2C0E38B029E1854E7071356D05522E,1FC37B0FC9548DD13AFD45941C1B4A09,3065352D2A5FF38E61CA35B41B29159B,8EF40859CE66D5A73B0A7DAAC40C6140,AD51766FFFF621E9809B4899877C7EDD,368BED27A6DA01398E1E7E78E26F21C2,FDF3E065398A304F76D2C346C31EEA8C,9C1920E1E36F5236747CB88490EA232D,F0A810AC8B522739ACAB3F2B8F016247
081911111111111191,11111111111111111149,38363738FFFFFFFF,3739393330323536,32393338FFFFFFFF,3937363330333534,3532373433343931,3935353537333436,11BAEC394046554A5DE3541356C856E1,1ABFCDAC827B7C8AEBF8F67870667329,0200,429A699475545BBB07621CCA140654CC,BFF6B337A21520A1E754492DA940B2D8,C529AB1E0D40E3A6CD16B43F46F97067,B96F90B7845299FFE396239E6F45D4CA,5F621F4F406C317FE4A8A9B17935B20F,D521C8466FBEEA82FEFE08B5591110D1,BFB7E171CABC7142015387CE5EC21923,D325BBAB8E58C86C2727B5DC9454679D,A4C29D54FE9E981D051648383C3DCCDA
081911111111111102,11111111111111112120,31353034FFFFFFFF,3133393039373635,33353535FFFFFFFF,3330333530393035,3934343633383832,3932313239323831,21A8CA3E630FE88BF95D267DEF2A7DE5,CC249A6ECD3F4E4244A6AB559273450B,0001,7E661CDC4675524A768D1784EA76C202,2DBAF2C7C177B23367081256E0A8B84E,6E38629F2FE2471EF29E2B23F728CAED,5E5D71E5FE0ED17F2C4D653AA2BDC348,2B146365AA46E0FD063DAEA313D59E5C,D5BEB2570236B66E238359EA02764B55,BDC989508C04FE1227F0A2C77A86AEF6,52503FE02FCE6F39FF39E719DD854DF7,F03E1164A18A9180B186FFF9AA6649F9
