ICCID,ICCID1,ICCID2,ICCID3,ICCID4,ICCID5,ICCID6,PIN1,PUK1,PIN2,PUK2,IMSI,IMSI1
899222333444000000,899222333444000000,8992,2233,3444,0000,00,8185,79112431,6725,85694217,410022,233344400
899222333444000001,899222333444000001,8992,2233,3444,0000,01,2455,72240560,5459,13675533,410022,233344401
899222333444000002,899222333444000002,8992,2233,3444,0000,02,4542,48659571,7978,79829041,410022,233344402
899222333444000003,899222333444000003,8992,2233,3444,0000,03,2107,43439796,8784,29880175,410022,233344403
899222333444000004,899222333444000004,8992,2233,3444,0000,04,4883,50598164,7285,23212800,410022,233344404
899222333444000005,899222333444000005,8992,2233,3444,0000,05,8559,63442608,6564,75055037,410022,233344405
899222333444000006,899222333444000006,8992,2233,3444,0000,06,1130,50911628,7079,55211677,410022,233344406
899222333444000007,899222333444000007,8992,2233,3444,0000,07,3925,80649214,7571,60117266,410022,233344407
899222333444000008,899222333444000008,8992,2233,3444,0000,08,6438,67646006,5413,69109771,410022,233344408
899222333444000009,899222333444000009,8992,2233,3444,0000,09,1298,44422506,4497,17366614,410022,233344409
899222333444000010,899222333444000010,8992,2233,3444,0000,10,7778,71330464,8723,68888014,410022,233344410
899222333444000011,899222333444000011,8992,2233,3444,0000,11,5224,33795750,2115,57809049,410022,233344411
899222333444000012,899222333444000012,8992,2233,3444,0000,12,1024,45795900,1946,15708561,410022,233344412
899222333444000013,899222333444000013,8992,2233,3444,0000,13,1354,42169177,7602,91525377,410022,233344413
899222333444000014,899222333444000014,8992,2233,3444,0000,14,5082,69157894,1778,50343140,410022,233344414
899222333444000015,899222333444000015,8992,2233,3444,0000,15,3436,53583028,6338,84787886,410022,233344415
899222333444000016,899222333444000016,8992,2233,3444,0000,16,4056,55128875,2767,61678884,410022,233344416
899222333444000017,899222333444000017,8992,2233,3444,0000,17,5356,74633750,3986,37635675,410022,233344417
899222333444000018,899222333444000018,8992,2233,3444,0000,18,5752,78908104,2076,54230318,410022,233344418
899222333444000019,899222333444000019,8992,2233,3444,0000,19,9005,50901956,9869,61492205,410022,233344419
899222333444000020,899222333444000020,8992,2233,3444,0000,20,6890,78586569,7362,82073514,410022,233344420
899222333444000021,899222333444000021,8992,2233,3444,0000,21,6376,47001064,1987,57923722,410022,233344421
899222333444000022,899222333444000022,8992,2233,3444,0000,22,4509,24356434,8009,47368847,410022,233344422
899222333444000023,899222333444000023,8992,2233,3444,0000,23,9732,26800382,3682,10327101,410022,233344423
899222333444000024,899222333444000024,8992,2233,3444,0000,24,3443,67953866,3751,78936742,410022,233344424
899222333444000025,899222333444000025,8992,2233,3444,0000,25,5421,93169501,7789,32112879,410022,233344425
899222333444000026,899222333444000026,8992,2233,3444,0000,26,7019,55280100,7534,93893462,410022,233344426
899222333444000027,899222333444000027,8992,2233,3444,0000,27,1030,39741119,3300,94008372,410022,233344427
899222333444000028,899222333444000028,8992,2233,3444,0000,28,4664,92341538,1541,12226648,410022,233344428
899222333444000029,899222333444000029,8992,2233,3444,0000,29,2871,89205456,6581,36613738,410022,233344429
899222333444000030,899222333444000030,8992,2233,3444,0000,30,9803,55551143,8991,65277927,410022,233344430
899222333444000031,899222333444000031,8992,2233,3444,0000,31,8263,28654373,8842,46892787,410022,233344431
899222333444000032,899222333444000032,8992,2233,3444,0000,32,3745,57613139,2101,19337691,410022,233344432
899222333444000033,899222333444000033,8992,2233,3444,0000,33,1470,49641231,1713,89050200,410022,233344433
899222333444000034,899222333444000034,8992,2233,3444,0000,34,2408,71215388,9784,67270688,410022,233344434
899222333444000035,899222333444000035,8992,2233,3444,0000,35,6158,52975945,8792,52216569,410022,233344435
899222333444000036,899222333444000036,8992,2233,3444,0000,36,9273,50047672,7978,50755108,410022,233344436
899222333444000037,899222333444000037,8992,2233,3444,0000,37,2566,37208270,7549,11513901,410022,233344437
899222333444000038,899222333444000038,8992,2233,3444,0000,38,8566,40065582,6767,53174698,410022,233344438
899222333444000039,899222333444000039,8992,2233,3444,0000,39,6448,38476746,2563,87298273,410022,233344439
899222333444000040,899222333444000040,8992,2233,3444,0000,40,1060,92496763,1374,22477739,410022,233344440
899222333444000041,899222333444000041,8992,2233,3444,0000,41,5861,28306975,6172,95870262,410022,233344441
899222333444000042,899222333444000042,8992,2233,3444,0000,42,8568,34873871,8618,43645673,410022,233344442
899222333444000043,899222333444000043,8992,2233,3444,0000,43,5915,70398419,3206,88934616,410022,233344443
899222333444000044,899222333444000044,8992,2233,3444,0000,44,8856,63530856,3530,64291221,410022,233344444
899222333444000045,899222333444000045,8992,2233,3444,0000,45,8018,70664564,6062,70576485,410022,233344445
899222333444000046,899222333444000046,8992,2233,3444,0000,46,9379,84825945,2351,32731204,410022,233344446
899222333444000047,899222333444000047,8992,2233,3444,0000,47,4528,11965850,8332,57817197,410022,233344447
899222333444000048,899222333444000048,8992,2233,3444,0000,48,3550,50868725,8121,20225052,410022,233344448
899222333444000049,899222333444000049,8992,2233,3444,0000,49,5540,99337524,8335,38578463,410022,233344449
899222333444000050,899222333444000050,8992,2233,3444,0000,50,7293,94596318,3756,64824425,410022,233344450
899222333444000051,899222333444000051,8992,2233,3444,0000,51,4261,14657114,5975,49201679,410022,233344451
899222333444000052,899222333444000052,8992,2233,3444,0000,52,5836,16338288,4883,12413530,410022,233344452
