IMSI,EKI,ICCID,PIN1,PUK1,PIN2,PUK2,ADM1,ADM6,ACC,KIC1,KID1,KIK1,KIC2,KID2,KIK2,KIC3,KID3,KIK3
410022233344400,A5BA8E96ADF9009796288BA77C707E69,899222333444000000,8185,79112431,6725,85694217,78803100,85980130,0001,924EF02B27F779F38FDC8F875519A54C,432BFC1E5C19455526AEA41029D7A1F0,A2C0F46E117E29E783A811F25A42108E,B1EB320328323A027F1D245B2F9E3E17,4D2458BF6BEC7A988DD2C9AD2A261000,7861D5C2FBDA2DC4AE5E690F2D69D8C4,1E7072BF7B8ECD3DAE387D1BA9DCA750,C34266E3A71FDA6F66E4F8A3845A3F8A,17FA4D04408C08FB6C93A5A3EC4E3938
410022233344401,4F0BF492A027EA315D54C416600756EF,899222333444000001,2455,72240560,5459,13675533,76867407,70610149,0002,EE4D38A8307BDA3B2954C15238687E98,677E456659AD7D2761B65D7E21FB0038,BB1DE1840C9F69BC722A41C79D33926B,A4E59A15291B6F39BD5419BCD3A92079,EC686F04F46C95147787902538B87C42,9C516271BBFAFF6131C0B76FB31EB926,9CA937F8587AC47276DA325C324638B9,89B0964DB6F0A46ED9F7895759DAD691,19628D9AD39F8BBA5F9DEAE39D8478AC
410022233344402,8FD15AEABA0E4BBE49AB1A106845719F,899222333444000002,4542,48659571,7978,79829041,20310627,94242003,0004,B41B171550D4D4AA85AB9496F9C26401,66F84F2FDE21C73D0A93035BD3874B69,F122DEFAAEE095F0A4BC1933A330F5E8,558881AA0C4FE57081612C2156F52C5C,7257971971840A99D7FF797BD115E91F,14F6F9EC1F5AA3AE6078B8F797CD4115,0FC7C4DE9C2984D9BA551FAECEC15424,60B17DA5FB7F8BB1775798C83170AF86,0F76E717C3500368D5DAA96421CA3CF4
410022233344403,A64A7DDA6405D3310D4720860FAA9F09,899222333444000003,2107,43439796,8784,29880175,88096407,27504870,0008,56757DA016EF112FED5117B3F9AF31AE,34E2484409C2261F1C3279F2E094E7D4,18F688F1A305DF62D98811273772C5CF,677D0787ECEBC1BB5B1979E39CA81E5C,1D674612A47E0335182F2202BFE04D20,E1AF9FBBA20B9965351CE83BD3C14683,056DD4246D9F671AEA4CB6CDB860CA7B,DB37B63448C8BD6E678B3FC11CE8131D,F1502AE21C0C35AAEA7EEE3B6DD81C51
410022233344404,C43A74D48F47B2D9A0EF21A8A20F2C7D,899222333444000004,4883,50598164,7285,23212800,56080594,96972160,0010,BD8EBCCCE2288CAF80935A05CA43CB68,194C519370522057A67FEC4379E0248D,E44E3F52EA8EE48191EB3AC828467F66,B9A6C372B328AE8662F141EA8C84E78F,C95B6EDDC720CC948E827A03C40439D3,FC8DB9B14655B3583EFAA6612F2C77C2,D577FA7F36F89441C123CA1D17B210A8,86C1F6258F9AD3EEE6F580233846B05A,75E5B178E982E1230E7711175F761E93
410022233344405,21B1281C9D906972FA89F1F127BF81A7,899222333444000005,8559,63442608,6564,75055037,31567151,22372954,0020,D7D4923ED0235EE20B0CF21A2B43995F,380886B0790F8DDCBAC14E0178A28EE2,E8AB60E94057102BC3C01925E618B198,C3D80436D8793C24D40FE0DB3B5F5A32,8B4CB97EFA7BE80C8D52EA6C7A61B194,2580543775AAF089BC02E9A393D82819,73FED2DB252F4DFA246AF9B785BA2004,9D959A6DBD39AE4D83EBAC275ACC8E9D,3588A35B80734D486258CFD222467562
410022233344406,4C64124823ABFB825034E7ED82122AD2,899222333444000006,1130,50911628,7079,55211677,73585571,22456945,0040,7D268665B3474D38BEEA3DEF7663DC76,A793963F0B1D815F1F65F9BBB7F3388E,592E51DDA2781637D192179AF84A824C,F5BF9825030E9023C90108A270220F04,96BB105DFEC732116CA7E2908CB15279,C587999F8E6C0C5873B7865F7D7EBC78,730FD99C22209C50B928B102D9229E50,4CC71AD1C2628D1829B35322593D9B03,C046941D72E5DCBFC3173183D03BA1E8
410022233344407,AA7AA75D25E9BD09C418BE8832584300,899222333444000007,3925,80649214,7571,60117266,24205685,66120109,0080,EEE82AA533D7A6EE28C6AE7416CD2A87,9084A487BFEAD1A9802F2B522AF9BAD3,2ADE700E8D1A1F428113E51E759CACA5,DF5AA714ABC9C9DDE0CB10D72754A1C1,F768C09BB73E1AA0E34EA6690CE46A4E,237C9D17AA16A8B369B62B8FF5E1FAA4,3A4C992201118420A997DE50A029BA54,31C4FD772718364C5020B93C3614FD1D,8E2BE8DE7544F72A97AE843B1B0041A9
410022233344408,65FAA03B69BEC374C8ED70E7E8E3646B,899222333444000008,6438,67646006,5413,69109771,14669173,12708824,0100,483BE0483B3394F8F7D2435E6713702F,39EF9781072191693A1E4F1509C410A2,4B8F8810985F34DFF574C3DAE0A1A9CC,4B2227A96B950EF35585744624FED07B,CB61D705BD8CC2ABA5A7464E04F67EB2,B92B3FE380834842E68D1356C075583A,2F8D8CC74BC3767887394981A454B815,2D9929D6A5999E2E295B391700776665,35F81BAF6C68F486591F7899FFF93148
410022233344409,375599C8854263AA10CF2C26D15A31FA,899222333444000009,1298,44422506,4497,17366614,48239627,73268804,0200,6699FF4FA0DCBBC19CD78BFE732209E9,83C1D68853399D354523C9C3CD51BD08,71C2C9E7F901F3DDD8C6C0A8E66B9BB8,332982D433760FE0F8BECDF17C07DEFE,99F4F960D1BAA6DC3A453653D1C9460D,4B90CF8CE85283DCEAF64FDA926332C0,E08E30F9CD929C13B8FFBDAB23E08F2F,D69136D5787B38DAD741489645357CC0,9A748AD593DDAF88E3BDC49758CBD808
410022233344410,A7803F24606E196331EEDF668CA99635,899222333444000010,7778,71330464,8723,68888014,57890360,95961604,0001,5F8DDCEA59F80DDCFB0997905FF4619F,4D74DD4C9635569067B61A431CF8AD38,51FAB144F8B13FAE654FA52DF25EB729,31D1D6E74C1B3DAC70448AEEE4278C7D,B51DB80C5E7E03EE3BB20053C404DF09,735B3BF1403570423A4CE3571D03FCBA,2C93AC1719921ED6D8A3332E8027FF29,1F4D2692756E7D6DD6C2E5F26899C99E,7E292601241088F7B5EDED858A9F4758
410022233344411,7BDADE1D16786C9E0D47C004838D1A9F,899222333444000011,5224,33795750,2115,57809049,69300520,33025125,0002,8636645F4DC1B7A92963A7A91EA76E8B,332144DBFD890C5DBA2D5E152711DD6E,66E20A24A2328CC799AD2ED86BA495EB,46B080DF690593AE6CD9C2E8884D259B,697B9BB9E45E8734ACF1816DB33026E4,33DFA81F66115AD4AA3F6CCBEF99FBD6,35DBC3CC455042B28A68F1C3BCEA671A,58BA24AB05CD70143D69B1A8E924C877,BE75B58667D668A10B6BA71B38401231
410022233344412,3A4F7DAE0EDE9E2372CF49A8706E7040,899222333444000012,1024,45795900,1946,15708561,90186658,17749248,0004,4641E0A4DCB48B8F5C11D46AB2B107F2,BFD4ED645E8CD84387E27A3FE9723C6C,8DD0B4ABFFAF3A7A45CD3ECA7B269E15,0B04BA3B3258B904A91B484A38C40AB9,AFEC6E8156A7E1A48E16B8547174BFAD,5BBB1687EB793165D2AAC2C17AE4A768,92BCBC4E31F2312676DA0945746B6943,4AEE9A64579538C62E0A8D2EC30AE4D0,76CE1E30DF298208D6C3B99961329D7A
410022233344413,2B151EB7D06B9D90DB63D0C3A6A12FEF,899222333444000013,1354,42169177,7602,91525377,92847132,28840349,0008,3F19F916DE7BBA6D57DE7378F96BAB56,DEF347C25603932FFA7B37A8584F84C9,44069454EC2E6557E7A688B8FAD656CD,555901F96F5225CF80F60CDD233AEDC7,23D0172740A9ED8E38532AEC4526CFCE,CCC4FB88EFDE0E6C6787C197F3D1CC15,8D7286CE10D02D78D180D7A30C91C485,1B8E3D37FF9E8AEFE503F207F4846A84,C9FB34ECE6A43E3BCD84044377A9E498
410022233344414,4191EF94D6003EC9A57B5BCAADD70DBB,899222333444000014,5082,69157894,1778,50343140,92097237,79572014,0010,5AF8AFC00D4B2B5263E70C89C54D564A,88E2C6C0A2E2E5A0F9063D3B784ED5C1,772D0115BEA34BE0503A1117EC61887A,95941A57EF62D4D19006E858CA572CA9,274842D0F61E55BABC483356AA99ADFB,CF8F0AC5B93BC25A21AB1AF6C862CEC4,4EC76576340190AB660619DD306E37EE,A5DEBCE24716EC83CA90F98420B816FC,70A97972FEAE71E03A2D6EE2E1D8C2FA
